feature,coefficient
f25,1.0007987530299283
f23,-0.9762465666639948
f45,0.838904122521355
f41,0.8342164669808546
f47,0.7748874627616869
f34,-0.6452901500030576
f07,0.6124612952707053
f02,-0.6075522668603702
f14,0.5958915431537316
f37,0.5744754173533769
f15,-0.4909099922790565
f38,0.4614279955680517
f42,-0.4484799259916835
f29,0.42886600003264547
f26,0.36463282628018856
f43,-0.33334865614387044
f06,0.3271081818579645
f09,0.3108259206652095
f30,0.2851229704148917
f33,0.2831847499492592
f21,0.2786437195129935
f35,0.27383559768997484
f05,0.2449446021249057
f19,0.18748904225061302
f27,-0.18639912807550885
f24,-0.17319708216651103
f44,0.13232672494864794
f31,-0.1269955017727992
f00,0.1210136233354023
f40,0.12076982862381742
f12,-0.12075282441431703
f18,0.1191158248104701
f13,0.11161961507905725
f22,-0.1079153705037977
f28,-0.08090574040049898
f36,0.076985640135206
f10,0.07475052122935336
f04,0.06889132044436733
f20,0.058075296714960506
f17,0.04562570644439277
f16,0.03864765215414189
f46,-0.03860532281986136
f32,-0.028047123608820262
f08,0.011713160819348515
f39,-0.0114020436260388
f03,0.011028011172071877
f11,-0.0102095988145646
f01,0.007624740053701949
