feature,importance
f25,0.057453169486901635
f40,0.04656341983042698
f24,0.04615771082623601
f41,0.04106323144077872
f27,0.03999058204328974
f45,0.03886275643485008
f44,0.03661491432523444
f37,0.03287877655233198
f36,0.03226463165971989
f38,0.027126523316242154
f42,0.025659690621564056
f17,0.025366791677659473
f32,0.023961840482528345
f01,0.022581547618906538
f00,0.020437846426712106
f06,0.020174207884159516
f46,0.019943027832027428
f28,0.01989139221494599
f31,0.01985920368143375
f05,0.019839679517199563
f04,0.019746554948964937
f20,0.019624010587923582
f15,0.019500186940743222
f02,0.01948851078275687
f21,0.019296968704987313
f33,0.018883514504028167
f16,0.01815102315979032
f29,0.017849572969754274
f13,0.017816996624010126
f22,0.017411829510520938
f34,0.016926491584600214
f12,0.01675938315968422
f35,0.016583720601433514
f10,0.015639654906471536
f08,0.015109588546100224
f11,0.014462663082098077
f09,0.014363699925330578
f23,0.013823547220861012
f07,0.011524670220451299
f19,0.010755499827672469
f18,0.009749353527112889
f30,0.008204543557938922
f14,0.0072185511001356005
f03,0.0068312261042482786
f39,0.00579699804505095
f26,0.005635263051425089
f43,0.004458953900717344
f47,0.0016960790320397865
